location,district,area,bed,latitude,longitude,price,type
"1 Hollybrook Road, Clontarf, Dublin 3",3,232 m²,5 Bed,53.3630407,-6.2187486,"€ 1,300,000",End of Terrace
"1 Holyrood Park, Sandymount, Dublin 4",4,196 m²,3 Bed,53.3291261,-6.2214049,"€ 1,250,000",Semi-D
"1 Inchicore Square North, Inchicore, Dublin 8",8,99 m²,3 Bed,53.3409708,-6.3238981,"€ 445,000",End of Terrace
"1 Iona Road, Glasnevin, Dublin 9",9,226 m²,5 Bed,53.3667409,-6.2700472,"€ 800,000",End of Terrace
"1 Loftus Square, Rathfarnham Gate, Rathfarnham, Dublin 14",14,48 m²,2 Bed,53.2989843,-6.2845572,"€ 325,000",Apartment
"1 Merton Park, South Circular Road, Dublin 8",8,83 m²,3 Bed,53.3337649,-6.2798426,"€ 550,000",End of Terrace
"1 Millbrook Court, Mount Brown, Dublin 8",8,45 m²,1 Bed,53.3416066,-6.2990284,"€ 190,000",Apartment
"1 Mountpleasant Square, Ranelagh, Dublin 6",6,null,3 Bed,53.3279729,-6.2587716,"€ 725,000",End of Terrace
"1 Ovenden House, Dean Street, Christchurch, Dublin 8",8,52 m²,2 Bed,53.3425185,-6.271268,"€ 275,000",Apartment
"1 Parnell Court, Harold's Cross, Dublin 6",6,71 m²,3 Bed,53.3267474,-6.2810512,"€ 475,000",End of Terrace
"1 Rothe Abbey Court, South Circular Rd, Dublin 8",8,63 m²,2 Bed,53.3382058,-6.3042729,"€ 320,000",Apartment
"1 Saint Marys Terrace, Stoneybatter, Dublin 7",7,52 m²,2 Bed,53.3505954,-6.283153,"€ 350,000",End of Terrace
"1 Silken Park Drive, Citywest, Dublin 22",22,107 m²,3 Bed,53.2969849,-6.4189764,"€ 365,000",Semi-D
"1 St. Kevins Place Donovan Lane Blackpitts Dublin 8, Dublin 8",8,250 m²,3 Bed,53.3359522,-6.2748802,"€ 1,500,000",Apartment
"1 The Beech, Grattan Wood, Hole-In-The-Wall Road, Donaghmede, Dublin 13",13,77 m²,2 Bed,53.401135,-6.1632471,"€ 250,000",Apartment
"1 The Courtyard, Stepaside Park, Stepaside, Dublin 18",18,157 m²,3 Bed,53.2546016,-6.2064583,"€ 625,000",Semi-D
"1 The Green, Beaumont Woods, Beaumont, Dublin 9",9,94 m²,3 Bed,53.3904958,-6.2295194,"€ 395,000",Semi-D
"1 Thomas Davis Street West, Inchicore, Dublin 8",8,65 m²,4 Bed,53.3378308,-6.3214529,"€ 285,000",End of Terrace
"1 Tudor Road, Ranelagh, Dublin 6",6,162 m²,3 Bed,53.3164144,-6.2529343,"€ 1,200,000",Semi-D
"1 Verona, Kilgobbin Road, Sandyford, Dublin 18",18,null,2 Bed,53.2669848,-6.2197515,"€ 299,000",Apartment
"1 Woodley Court, Kilmacud Road Upper, Goatstown, Dublin 14",14,null,4 Bed,53.2863396,-6.223666,"€ 845,000",Detached
"1 Yale, Ardilea, Clonskeagh, Dublin 14",14,138 m²,4 Bed,53.3002361,-6.2272692,"€ 875,000",Semi-D
"10 Ailesbury Court, Ailesbury Road, Ballsbridge, Dublin 4",4,82 m²,2 Bed,53.3190691,-6.22958,"€ 495,000",Apartment
"10 Beau Park Place, Clongriffin, Dublin 13",13,120 m²,3 Bed,53.401761,-6.1541197,"€ 345,000",Terrace
"10 Beechpark Avenue, Coolock, Dublin 5",5,138 m²,3 Bed,53.3898876,-6.201814,"€ 435,000",Semi-D
"10 Beneavin Road, Glasnevin, Dublin 11",11,null,2 Bed,53.3899134,-6.2872777,"€ 255,000",End of Terrace
"10 Bolbrook Close, Tallaght, Dublin 24",24,null,3 Bed,53.2862246,-6.3419426,"€ 260,000",Terrace
"10 Brighton Square, Foxrock, Dublin 18",18,232 m²,4 Bed,53.2586173,-6.1793275,"€ 1,500,000",Detached
"10 Butterfield Orchard, Rathfarnham, Dublin 14",14,160 m²,4 Bed,53.2902529,-6.2922846,"€ 750,000",Semi-D
"10 Cassian Court East, Royal Canal Park., D15ET66, Ashtown, Dublin 15",15,78 m²,2 Bed,53.3769656,-6.3152074,"€ 315,000",Apartment
"10 Cloonmore Grove, Tallaght, Dublin 24",24,null,4 Bed,53.2795165,-6.4017059,"€ 275,000",End of Terrace
"10 Deanstown Road, Finglas West, Finglas, Dublin 11",11,87 m²,3 Bed,53.3859469,-6.3174217,"€ 215,000",Terrace
"10 Dexter Terrace, Northbrook Road, Ranelagh, Dublin 6",6,51 m²,1 Bed,53.3281559,-6.2574139,"€ 425,000",Apartment
"10 Eastmore, Bushy Park Road, Terenure, Dublin 6",6,101 m²,3 Bed,53.3071911,-6.2807918,"€ 545,000",Apartment
"10 Eaton Wood Green, Shankill, Dublin 18",18,104 m²,3 Bed,53.2342977,-6.116319,"€ 525,000",Semi-D
"10 Eaton Wood Green, Shankill, Dublin 18",18,104 m²,3 Bed,53.2342977,-6.116319,"€ 525,000",Semi-D
"10 Fairways Grove, Griffith Road, Glasnevin, Dublin 11",11,null,5 Bed,53.3824815,-6.2886349,"€ 499,950",Semi-D
"10 Fitzgerald Street, Harold's Cross, Harold's Cross, Dublin 6",6,73 m²,2 Bed,53.3267474,-6.2810512,"€ 450,000",Terrace
"10 Fortfield Park, Terenure, Dublin 6",6,181 m²,4 Bed,53.303109,-6.3012205,"€ 1,250,000",Semi-D
"10 Glasnevin Oaks, Glasnevin, Dublin 11",11,86 m²,3 Bed,53.37784,-6.286575,"€ 365,000",End of Terrace
"10 Hillcrest, Templeogue, Dublin 6W",6W,110 m²,4 Bed,53.2941993,-6.3157917,"€ 550,000",Semi-D
"10 Huxley Crescent, Cork Street, The Coombe, Dublin 8",8,125 m²,4 Bed,53.3363983,-6.2887444,"€ 695,000",Semi-D
"10 Lambs Brook Sandyford Dublin 18, Sandyford, Dublin 18",18,null,4 Bed,53.2662093,-6.2283447,"€ 795,000",Detached
"10 Larkhill Road, Whitehall, Dublin 9",9,null,3 Bed,53.3859296,-6.2450322,"€ 395,000",Terrace
"10 Malpas Place, Dublin 8",8,91 m²,2 Bed,53.3365641,-6.2736277,"€ 350,000",End of Terrace
"10 Meades Terrace Dublin 2, Dublin 2",2,52 m²,2 Bed,53.3406893,-6.245319,"€ 395,000",Terrace
"10 Moland House, Talbot Street, Dublin 1",1,70 m²,2 Bed,53.3503612,-6.2562012,"€ 325,000",Apartment
"10 Montpelier Court, Tallaght, Dublin 24",24,38 m²,1 Bed,53.2777339,-6.4007725,"€ 120,000",Apartment
"10 Moyle Crescent, Clondalkin, Dublin 22",22,156 m²,4 Bed,53.3190897,-6.393223,"€ 439,950",Semi-D
"10 New Row Square Dublin 8, Dublin 8",8,60 m²,2 Bed,53.3379582,-6.2745894,"€ 345,000",Terrace
"10 Oak House, Oakbury Court, Serpentine Avenue, Sandymount, Dublin 4",4,86 m²,2 Bed,53.3306369,-6.2236266,"€ 495,000",Apartment
"10 Park Hall, Mount St Annes, Milltown, Dublin 6",6,130 m²,2 Bed,53.3136563,-6.2520678,"€ 695,000",Apartment
"10 Pinewood Crescent, Glasnevin, Dublin 11",11,149 m²,4 Bed,53.3945149,-6.275447,"€ 575,000",Semi-D
"10 Price's Place, Ranelagh, Dublin 6",6,102 m²,2 Bed,53.3282725,-6.2601016,"€ 475,000",Detached
"10 Primrose Street, Broadstone, Phibsborough, Dublin 7",7,117 m²,5 Bed,53.3562725,-6.2705753,"€ 510,000",End of Terrace
"10 Ravensdale Road, East Wall, Dublin 3",3,63 m²,3 Bed,53.3541631,-6.231003,"€ 250,000",Terrace
"10 Reuben Avenue, Rialto, Dublin 8",8,98 m²,3 Bed,53.3351293,-6.2921677,"€ 450,000",Terrace
"10 St Brigid's Road Upper, Drumcondra, Dublin 9",9,169 m²,3 Bed,53.3691884,-6.2544102,"€ 675,000",Terrace
"10 Sundale Meadow, Tallaght, Dublin 24",24,86 m²,3 Bed,53.2850227,-6.4110635,"€ 255,000",Semi-D
"10 Talbot Downs, Castleknock, Dublin 15",15,130 m²,4 Bed,53.3842938,-6.3680218,"€ 565,000",Semi-D
"10 Walnut Close, Kingswood, Dublin 22",22,90 m²,3 Bed,53.3075695,-6.365461,"€ 325,000",Semi-D
"10 White Pines Drive, Stocking Avenue, Rathfarnham, Dublin 16",16,126 m²,4 Bed,53.2733444,-6.3143767,"€ 545,000",End of Terrace
"10 é�rd Na Gréine, Eaton Brae, Rathgar, Dublin 6",6,144 m²,2 Bed,53.3036727,-6.2615952,"€ 950,000",Terrace
"100 Ballinteer Park, Dundrum, Dublin 16",16,117 m²,4 Bed,53.2913495,-6.2454413,"€ 595,000",Semi-D
"100 Navan Road, Dublin 7",7,108 m²,3 Bed,53.3639102,-6.3059483,"€ 575,000",Semi-D
"100 Sandyford View, Blackglen Road, Sandyford, Dublin 18",18,46 m²,1 Bed,53.2686148,-6.243023,"€ 225,000",Apartment
"100 St Declan's Road, Marino, Dublin 3",3,104 m²,3 Bed,53.3699973,-6.2343628,"€ 460,000",Terrace
"100 Tudor Lawns, Foxrock, Dublin 18",18,100 m²,3 Bed,53.271783,-6.1933509,"€ 595,000",Semi-D
"100 White Oaks, Clonskeagh, Dublin 14",14,null,2 Bed,53.3025324,-6.2370966,"€ 399,000",Semi-D
"101 Kildare Road, Crumlin, Dublin 12",12,70 m²,2 Bed,53.3275812,-6.3037719,"€ 325,000",Terrace
"102 Brandon Road, Drimnagh, Dublin 12",12,78 m²,3 Bed,53.3262184,-6.327142,"€ 275,000",Terrace
"102 Chanel Road, Artane, Dublin 5",5,108 m²,3 Bed,53.3819676,-6.2053405,"€ 385,000",Semi-D
"102 Creston Avenue, Saint Margaret's Road, Finglas, Dublin 11",11,null,3 Bed,53.4075199,-6.2900888,"€ 249,950",Duplex
"102 Merrion Road, Ballsbridge, Dublin 4",4,388 m²,5 Bed,53.3251833,-6.2220547,"€ 2,500,000",Semi-D
"102 Tolka Estate, Glasnevin, Dublin 11",11,null,5 Bed,53.3818898,-6.2803694,"€ 495,000",Terrace
"103 Belmayne Park South, Balgriffin, Dublin 13",13,95 m²,3 Bed,53.4048113,-6.1726604,"€ 270,000",Apartment
"104 Captains Road, Kimmage, Dublin 12",12,null,2 Bed,53.3147194,-6.3021048,"€ 350,000",Terrace
"104 Fortlawn Avenue, Blanchardstown, Dublin 15",15,null,3 Bed,53.3923882,-6.4015359,"€ 270,000",Terrace
"104 Kickham Road, Inchicore, Dublin 8",8,86 m²,3 Bed,53.338703,-6.3090293,"€ 380,000",Terrace
"104 Larkfield Gardens, Harold's Cross, Dublin 6",6,null,3 Bed,53.3170017,-6.2896083,"€ 525,000",Terrace
"104 Merrion Road, Ballsbridge, Dublin 4",4,248 m²,4 Bed,53.3250898,-6.2219129,"€ 2,000,000",Semi-D
"104 Tudor Lawns, Foxrock, Dublin 18",18,130 m²,4 Bed,53.2716172,-6.1930448,"€ 665,000",Semi-D
"105 Allendale Square, Clonsilla, Dublin 15",15,60 m²,1 Bed,53.3888993,-6.4271118,"€ 220,000",Apartment
"105 Bantry Square, Blanchardstown, Dublin 15",15,null,2 Bed,53.3931691,-6.3692713,"€ 249,950",Apartment
"105 Tyrconnell Road, Inchicore, Dublin 8",8,61 m²,2 Bed,53.3373312,-6.3240432,"€ 325,000",Terrace
"106 Baggot Lane, Ballsbridge, Dublin 4",4,114 m²,2 Bed,53.3328254,-6.2369642,"€ 995,000",Detached
"106 Ballygall Parade, Finglas, Dublin 11",11,null,3 Bed,53.3878185,-6.2933247,"€ 290,000",Terrace
"106 Hollybank Road Drumcondra Dublin 9, Drumcondra, Dublin 9",9,130 m²,3 Bed,53.3691884,-6.2544102,"€ 750,000",Semi-D
"106 Mangerton Road, Drimnagh, Dublin 12",12,92 m²,3 Bed,53.327712,-6.3282853,"€ 335,000",Terrace
"106 Saint Eithne Road, Cabra, Dublin 7",7,56 m²,2 Bed,53.3671308,-6.2870186,"€ 295,000",Terrace
"106 Templeville Road, Templeogue, Dublin 6W",6W,222 m²,4 Bed,53.3026798,-6.3099347,"€ 875,000",Semi-D
"107 Ardlea Road, Artane, Dublin 5",5,111 m²,3 Bed,53.386835,-6.210511,"€ 390,000",Semi-D
"107 Bayside Boulevard North, Sutton, Dublin 13",13,102 m²,3 Bed,53.3905328,-6.1434997,"€ 399,000",End of Terrace
"107 Clonmacnoise Road, Crumlin, Dublin 12",12,80 m²,2 Bed,53.3275812,-6.3037719,"€ 345,000",End of Terrace
"107 Nutgrove Avenue, Rathfarnham, Dublin 14",14,83 m²,3 Bed,53.2927195,-6.2722071,"€ 400,000",Terrace
"108 Derrynane Square, Dublin 1",1,52 m²,2 Bed,53.3606737,-6.2618653,"€ 300,000",Apartment
"109 Longboat Quay North Apartments, Grand Canal Dock, Dublin 2",2,122 m²,3 Bed,53.3454014,-6.2361096,"€ 520,000",Duplex
"109A Conquer Hill Road, Clontarf, Dublin 3",3,null,1 Bed,53.3595981,-6.1897404,"€ 299,950",End of Terrace
"10A Greencastle Drive, Coolock, Dublin 5",5,85 m²,2 Bed,53.3969067,-6.2021877,"€ 234,950",Terrace
"10A Greenmount Lane Haroldâ€™s Cross Dublin 12, Harold's Cross, Dublin 6",6,57 m²,1 Bed,53.3282075,-6.2785484,"€ 350,000",Bungalow
"11 Ashford Street, Stoneybatter, Dublin 7",7,45 m²,2 Bed,53.3538541,-6.2930585,"€ 350,000",Terrace
"11 Bessborough Avenue, North Strand, Dublin 3",3,97 m²,3 Bed,53.3570047,-6.2414579,"€ 370,000",Terrace
"11 Bushy Park House, Terenure, Dublin 6",6,165 m²,4 Bed,53.3012741,-6.2959967,"€ 750,000",Terrace
"11 Church Street East, East Wall, Dublin 3",3,83 m²,2 Bed,53.3564139,-6.2334078,"€ 420,000",Terrace
"11 Clanree Road, Donnycarney, Dublin 3",3,null,3 Bed,53.3753707,-6.2165476,"€ 340,000",Terrace
"11 Delbrook Manor, Ballinteer Road, Ballinteer, Dublin 16",16,155 m²,3 Bed,53.2741884,-6.2414732,"€ 675,000",Semi-D
"11 Delbrook Manor, Ballinteer Road, Dundrum, Dublin 16",16,155 m²,3 Bed,53.2741884,-6.2414732,"€ 675,000",Semi-D
"11 Edenmore Park, Raheny, Dublin 5",5,76 m²,3 Bed,53.3864877,-6.1868936,"€ 310,000",End of Terrace
"11 Edgewood, Richmond Road, Drumcondra, Dublin 3",3,95 m²,3 Bed,53.3668231,-6.2500956,"€ 395,000",Duplex
"11 Estate Cottages, Shelbourne Road, Dublin 4",4,76 m²,2 Bed,53.3303989,-6.2313359,"€ 690,000",End of Terrace
"11 Faughart Road, Crumlin, Dublin 12",12,79 m²,2 Bed,53.3275812,-6.3037719,"€ 350,000",End of Terrace
"11 Greendale Avenue, Raheny, Dublin 5",5,118 m²,3 Bed,53.384484,-6.1502317,"€ 500,000",Semi-D
"11 Greenfort Lawns, Clondalkin, Dublin 22",22,null,4 Bed,53.35021,-6.3955389,"€ 255,000",Semi-D
"11 Luttrellstown Oaks, Castleknock, Dublin 15",15,99 m²,3 Bed,53.3711729,-6.3933915,"€ 450,000",Semi-D
"11 Melrose Crescent, Clondalkin, Dublin 22",22,84 m²,3 Bed,53.3265316,-6.4189921,"€ 250,000",End of Terrace
"11 Merton Road, Rathmines, Dublin 6",6,311 m²,5 Bed,53.3143393,-6.2541334,"€ 2,300,000",Semi-D
"11 Newgrove Avenue, Sandymount, Dublin 4",4,100 m²,2 Bed,53.3315161,-6.2130325,"€ 775,000",End of Terrace
"11 Newtown Grove, Breamor Road, Churchtown, Dublin 14",14,70 m²,2 Bed,53.3030516,-6.265801,"€ 395,000",Apartment
"11 Oakdown Road, Churchtown, Dublin 14",14,93 m²,3 Bed,53.2945804,-6.2618811,"€ 650,000",Bungalow
"11 Orchard Way, Ayrfield, Dublin 13",13,49 m²,1 Bed,53.3981138,-6.1793415,"€ 169,000",Apartment
"11 Parkhill West, Kilnamanagh, Dublin 24",24,null,3 Bed,53.3006153,-6.36889,"€ 329,950",Semi-D
"11 Quarry Drive, Perrystown, Dublin 12",12,84 m²,3 Bed,53.3131396,-6.32222,"€ 395,000",Bungalow
"11 Saint Mochta's Road, Coolmine Lodge, Coolmine, Dublin 15",15,88 m²,3 Bed,53.3815276,-6.4008841,"€ 330,000",Semi-D
"11 Shamrock Cottages, North Strand, Dublin 1",1,48 m²,2 Bed,53.3552311,-6.2440881,"€ 230,000",Terrace
"11 Shanliss Road, Santry, Dublin 9",9,null,2 Bed,53.3901552,-6.2489908,"€ 384,950",Semi-D
"11 Springfield Park, Templeogue, Dublin 6W",6W,126 m²,4 Bed,53.2976983,-6.299973,"€ 650,000",Semi-D
"11 Sweetman House, The Coast, Baldoyle, Dublin 13",13,66 m²,2 Bed,53.4018183,-6.1407405,"€ 270,000",Apartment
"11 Swift Hall, Collegewood, Castleknock, Dublin 15",15,92 m²,3 Bed,53.3720781,-6.3706031,"€ 350,000",Apartment
"11 Sycamore Drive, Kingswood Heights, Kingswood, Dublin 22",22,75 m²,3 Bed,53.3045704,-6.3653584,"€ 335,000",Bungalow
"11 The Meadows, Grange Road, Clonsilla, Dublin 15",15,63 m²,2 Bed,53.388109,-6.429567,"€ 235,000",Apartment
"11 The Oaks Carrickmines Wood Carrickmines Dublin 18, Carrickmines, Dublin 18",18,346 m²,5 Bed,53.2592362,-6.1662505,"€ 1,395,000",Detached
"11 The Poplar, Grattan Wood, Hole-In-The-Wall Road, Donaghmede, Dublin 13",13,65 m²,2 Bed,39.9662406,-75.1535221,"€ 250,000",Apartment
"11 The Waterfront, Hanover Quay, Grand Canal Dock, Dublin 2",2,78 m²,2 Bed,53.344003,-6.2341582,"€ 685,000",Apartment
"11 Waverley Avenue, Fairview, Dublin 3",3,null,3 Bed,53.3655928,-6.241082,"€ 450,000",Terrace
"11 Westbrook Road, Dundrum, Dublin 14",14,210 m²,4 Bed,53.292737,-6.2432347,"€ 845,000",Semi-D
"110 Aulden Grange, Santry, Dublin 9",9,null,3 Bed,53.4040986,-6.2528552,"€ 420,000",Semi-D
"111 Clonard Road, Crumlin, Dublin 12",12,null,2 Bed,53.3275812,-6.3037719,"€ 300,000",Terrace
"111 Kilmainham Square, Kilmainham, Dublin 8",8,83 m²,3 Bed,53.3423374,-6.3094157,"€ 395,000",Apartment
"111 Larkhill Road, Whitehall, Dublin 9",9,123 m²,3 Bed,53.3876615,-6.2495021,"€ 475,000",End of Terrace
"111 Vernon Avenue Clontarf Dublin 3, Clontarf, Dublin 3",3,200 m²,4 Bed,53.3706867,-6.2065887,"€ 995,000",Semi-D
"112 Caledon Road, East Wall, Dublin 3",3,84 m²,2 Bed,53.3547019,-6.2362931,"€ 350,000",Terrace
"112 Finglas Park, Finglas East, Finglas, Dublin 11",11,null,3 Bed,53.3928446,-6.2896111,"€ 395,000",Semi-D
"113 Rathfarnham Road, Rathfarnham, Dublin 14",14,154 m²,3 Bed,53.3030865,-6.2842178,"€ 650,000",Semi-D
"114 Walsh Road, Drumcondra, Dublin 9",9,73 m²,2 Bed,53.3721817,-6.2614044,"€ 395,000",Terrace
"115 Captain's Road, Crumlin, Kimmage, Dublin 12",12,85 m²,3 Bed,53.3155551,-6.3036949,"€ 290,000",End of Terrace
"115 North Circular Road, North Circular Road, Dublin 7",7,null,6 Bed,53.35567,-6.2930533,"€ 850,000",Terrace
"116 Ardbeg Park, Artane, Dublin 5",5,null,3 Bed,53.3849101,-6.2041851,"€ 435,000",End of Terrace
"116 Grianan Fidh, Aiken's Village, Sandyford, Dublin 18",18,126 m²,3 Bed,53.2619565,-6.218458,"€ 435,000",Duplex
"117 Latchford Square, Castaheany, Clonee, Dublin 15",15,68 m²,2 Bed,53.3958532,-6.4304119,"€ 250,000",Apartment
"118 Bushy Park House, Terenure, Dublin 6W",6W,86 m²,2 Bed,53.3017886,-6.2965723,"€ 435,000",Apartment
"118 Glasnevin Avenue, Glasnevin, Dublin 11",11,180 m²,4 Bed,53.3903508,-6.2740542,"€ 600,000",Semi-D
"118 Lower Kimmage Road, D6WHY50, Harold's Cross, Dublin 6W",6W,170 m²,4 Bed,53.3200358,-6.2864155,"€ 725,000",Semi-D
"118 Palmerstown Avenue, Palmerstown, Dublin 20",20,173 m²,5 Bed,53.3523668,-6.3749486,"€ 420,000",End of Terrace
"118 Ratoath Avenue, Finglas West, Finglas, Dublin 11",11,79 m²,3 Bed,53.3890537,-6.319832,"€ 235,000",End of Terrace
"118 Temple Court, Northwood, Santry, Dublin 9",9,76 m²,2 Bed,53.4067249,-6.2493205,"€ 245,000",Apartment
"119 Bow Bridge Place, Kilmainham, Dublin 8",8,46 m²,1 Bed,53.3430611,-6.3215398,"€ 225,000",Apartment
"119 Bunting Road, Walkinstown, Dublin 12",12,115 m²,4 Bed,53.3183647,-6.3306723,"€ 450,000",End of Terrace
"119 St. Annes, Kimmage, Dublin 6W",6W,62 m²,2 Bed,53.3109755,-6.3064508,"€ 395,000",End of Terrace
"119/119a Emmet Road, Inchicore, Dublin 8",8,512 m²,4 Bed,53.3403985,-6.315653,"€ 475,000",Terrace
"11a Block C, Thornfield, Donnybrook, Dublin 4",4,101 m²,2 Bed,53.3139611,-6.2264795,"€ 575,000",Apartment
"12 Amberfield, Verdemont, Blanchardstown, Dublin 15",15,64 m²,2 Bed,53.3879699,-6.3932206,"€ 210,000",Apartment
"12 Ard Mor Close, Tallaght, Dublin 24",24,87 m²,3 Bed,53.2883931,-6.4152831,"€ 235,000",Terrace
"12 Ardoyne House, Off Pembroke Park, Ballsbridge, Dublin 4",4,86 m²,2 Bed,53.327532,-6.2385031,"€ 550,000",Apartment
"12 Bramley Hall, Hamilton Park, Castleknock, Dublin 15",15,87 m²,2 Bed,53.3702678,-6.3842596,"€ 350,000",Apartment
"12 Cherryfield Walk, Clonsilla, Dublin 15",15,60 m²,3 Bed,53.3957015,-6.4212565,"€ 279,000",Semi-D
"12 Church Park Lawn, Harold's Cross, Harold's Cross, Dublin 6",6,59 m²,2 Bed,53.3226942,-6.286871,"€ 340,000",Terrace
"12 Foxfield Park, Raheny, Dublin 5",5,107 m²,3 Bed,53.3816582,-6.1598717,"€ 520,000",Semi-D
"12 Gandon House, Custom House Square, Dublin 1",1,110 m²,3 Bed,53.349531,-6.244996,"€ 630,000",Apartment
"12 Glenlyon Crescent, Knocklyon, Dublin 16",16,119 m²,3 Bed,53.2773999,-6.3291454,"€ 495,000",Semi-D
"12 Harty Place, South Circular Road, Dublin 8",8,47 m²,2 Bed,53.3351622,-6.272684,"€ 375,000",Bungalow
"12 Hazelbury Green, Clonee, Dublin 15",15,null,4 Bed,53.4021057,-6.4338588,"€ 369,950",Semi-D
"12 Hollywell, Poppintree Park Lane West, Poppintree, Dublin 11",11,116 m²,4 Bed,53.400567,-6.2830695,"€ 390,000",Terrace
"12 Newhall Court, Blessington Road, Tallaght, Dublin 24",24,88 m²,3 Bed,53.2754036,-6.4076693,"€ 250,000",Semi-D
"12 Oatfield Avenue, Clondalkin, Dublin 22",22,91 m²,3 Bed,53.3441193,-6.3936365,"€ 245,000",Semi-D
"12 Riverbank House, South Circular Road, Islandbridge, Dublin 8",8,54 m²,2 Bed,53.3468748,-6.3075883,"€ 330,000",Apartment
"12 Station Road, Sutton, Dublin 13",13,243 m²,4 Bed,53.3907242,-6.1129051,"€ 995,000",Semi-D
"12 Stocking Wood Manor, Rathfarnham, Dublin 16",16,144 m²,4 Bed,53.2936466,-6.3084904,"€ 525,000",Semi-D
"12 The Crescent, Binn Eadair View, Sutton, Dublin 13",13,82 m²,3 Bed,53.3904763,-6.1205939,"€ 395,000",Terrace
"12 The Green, Mulhuddart Wood, Blanchardstown, Dublin 15",15,88 m²,3 Bed,53.4027031,-6.3998657,"€ 295,000",Semi-D
"12 The Sweepstakes, Ballsbridge, Dublin 4",4,52 m²,1 Bed,53.3304028,-6.2291962,"€ 485,000",Duplex
"12 Thirlestane Terrace, Thomas Court, Dublin 8",8,86 m²,3 Bed,53.3431919,-6.2805666,"€ 400,000",Terrace
